bank_txn_id,transaction_date,description,reference_no,debit,credit,bank_account,source_file
B001,2026-05-01,NEFT RECEIPT INV1001 ACME LTD,INV1001,0,125000,HDFC-001,bank_statement_may.csv
B002,2026-05-02,VENDOR PAYMENT INFOSYS BILL 789,PAY789,85000,0,HDFC-001,bank_statement_may.csv
B003,2026-05-03,CUSTOMER RECEIPT INV1002 BETA PVT,INV1002,0,76000,HDFC-001,bank_statement_may.csv
B004,2026-05-04,BANK CHARGES MAY,BANKCHG,650,0,HDFC-001,bank_statement_may.csv
B005,2026-05-05,RTGS RECEIPT INV1003 DELTA,INV1003,0,98000,HDFC-001,bank_statement_may.csv
B006,2026-05-06,NEFT RECEIPT INV1003 DELTA DUPLICATE,INV1003,0,98000,HDFC-001,bank_statement_may.csv
B007,2026-05-07,PAYMENT TO TCS INV AP556,AP556,45000,0,HDFC-001,bank_statement_may.csv
B008,2026-05-08,UPI CUSTOMER RECEIPT UNKNOWN,UPI889,0,15000,HDFC-001,bank_statement_may.csv
B009,2026-05-09,SALARY PAYMENT MAY,PAYROLL,120000,0,HDFC-001,bank_statement_may.csv
B010,2026-05-11,NEFT RECEIPT INV1004 OMEGA,INV1004,0,32000,HDFC-001,bank_statement_may.csv
B011,2026-05-12,VENDOR PAYMENT WIPRO BILL AP557,AP557,62000,0,HDFC-001,bank_statement_may.csv
B012,2026-05-13,REVERSAL BANK ERROR,REV001,0,650,HDFC-001,bank_statement_may.csv
B013,2026-05-14,CUSTOMER RECEIPT INV1005 GAMMA,INV1005,0,110000,HDFC-001,bank_statement_may.csv
B014,2026-05-14,CUSTOMER RECEIPT INV1005 GAMMA DUP,INV1005,0,110000,HDFC-001,bank_statement_may.csv
B015,2026-05-15,CARD SETTLEMENT INV1006,INV1006,0,54000,HDFC-001,bank_statement_may.csv
